photoID,centerPoint/x,centerPoint/y,radius
PHOTO_029e5dee7ddfdac5cdb9ac999c0a9eec4,0.5184,0.3368,0.0976
PHOTO_c8f2daddcbbbbaddbdf99d3a9933baafe,0.7259,0.386,0.0609
PHOTO_7db99c93239daa29e27cd9b4a73bdcd8d,0.8319,0.3214,0.0921
PHOTO_cf7c8ad623f0cdf17b302ad7b97a417cc,0.594,0.598,0.0489
PHOTO_8dbcc9182dcaac99baab88cbd8c994b9d,0.1255,0.6521,0.0577
PHOTO_2a6ed9e4cb1d90addd0ff9cd89b9c9c91,0.229,0.5181,0.0702
PHOTO_79b4d01f1dba7bc68aad3999cdaaabebe,0.9717,0.6458,0.0514
PHOTO_be61ba04b979d20abcb74cd820ae4a3d0,0.4772,0.2723,0.0534
PHOTO_45ccb8dcea9c5aad8d94ce968b9baeb26,0.3605,0.5843,0.0835
PHOTO_8adabda59da6b9dd9949bc0d69ac9a507,0.5085,0.4287,0.0814
PHOTO_cc9dcc7c9dcfdad993db5ad6b9b68aded,0.4544,0.4949,0.0867
PHOTO_476a0be6b339c4cc9cb9fc1b8abb91dab,0.8289,0.4516,0.0127
PHOTO_14c84baf5abacfd8b798b9dac1aac4df5,0.562,0.9964,0.0456
PHOTO_5c8de2b29cdcbbb6cf34597d7bafb653a,0.1407,0.6499,0.049
PHOTO_9cbaa1d8cdc975abd194b8adb83edfd8d,0.1557,0.2814,0.0182
PHOTO_2a8e09dd4483c946c696dcd7fcac9d993,0.3596,0.1779,0.0907
PHOTO_69eecfb994ac09697caeba599dc39bcbc,0.4142,0.1271,0.0816
PHOTO_edbbbc39bbcbb8ae1ba4bc6d39d0a2ce9,0.88,0.4148,0.0946
PHOTO_70c799b949999ebab815cbaab7a8ea76b,0.9697,0.2106,0.0481
PHOTO_0aed99596e2b8caf6258c0a91d4a9bb09,0.9332,0.7387,0.0267
PHOTO_5dac92bc9b46454bbb8abaddc6492cafa,0.829,0.8228,0.098
PHOTO_d574da2a4de3bbab8abcc9c2b905dbcc3,0.6594,0.8785,0.0831
PHOTO_fcc93fc1490abdc2d88e5a3ac84b7bcb8,0.608,0.1206,0.0469
