userID,macula_line,disk_line,cup_disk_mask,art_mask,lesion_mask
USER_fcdb2e9594bcbc560b8cebc82aa9ba459,false,true,false,false,false
USER_3bbab0b88c9f7908a6096cb87d926428c,true,false,false,false,false
USER_df809698cc31bbdcddd019e3c7b4fc5dd,false,false,true,false,true
USER_0f895ccbd1ccaba4c856bddcba09f7dfb,true,true,true,false,true
USER_549c6ad1ec009d0bab2b8fd88b099b756,true,true,true,false,false
USER_cbae9d4cfb5a9b2cc3bc9ac6db9a06de4,false,false,true,true,false
USER_7bd9c9b91ba7dbc8c7b97aef2d409cda7,false,true,true,false,false
USER_55abacb90ccd6c39d0acdc29b3c596f83,true,false,true,true,true
USER_dcabfc91ad8bbbddbccaddbb25998b4d8,true,false,false,false,false
USER_46cd78c3b9db8ebddc159e1cc96d99fcc,true,true,true,true,false
USER_7c4d03a99c9acd9f9588d99c6c3ac8998,false,false,true,false,false
USER_dc53aeaaeeaf8b671ac9cbb3356e9d1bb,true,true,true,false,true
USER_6dde909adab7c8cdeeccb39dc26918359,false,true,true,true,true
USER_7db2cba0913bab9acc5d1daa99abc8b5a,true,true,false,true,false
USER_bfc9adb12b3cc3c2c9b7a9f93ddc99cda,false,true,true,false,false
USER_e49a8b9bc9cc0bcc09ac9a2964b999952,false,true,true,true,false
USER_1dbfddacd9588b2dfbb99ada5aaa6b767,true,false,true,true,true
USER_5b6b2969894bdb4b68cd6d6f419bb819c,false,true,false,false,false
USER_6baadbad6220ed9e7bcbaa870990ad848,true,false,true,false,true
USER_5c179a7dacca9cdacda7c7cf99d8b9cfb,true,true,true,true,false
USER_67a5d74ecc2bcbac9bbadf259df69f1ed,false,true,false,false,true
USER_4c20ee94a19bbc9af98a7d9cacb6b9b4f,true,true,true,false,false
USER_592feec7b7d0cbcdf82ebb99ed11b9a5a,true,false,true,true,false
USER_0a5fcc51a5bb9cabd97dc9c6cd846eb7b,true,true,true,true,false
USER_2cbcdb7ddcccacdbac5cda38c9cb72b8b,true,false,true,false,false
USER_3bbe9a9ade2babbaecbbdbc8b849da9a1,false,true,true,true,true
USER_58acca359b48d85cbac5859bca798d271,false,true,true,true,true
USER_1dc6c9b9cd9dbc6d9c9b32c09da6cd6b7,true,false,false,true,true
USER_b38530b8fb92db3a78dc2badad9ddd1bb,false,false,false,true,true
USER_8d99adaa99bdd1ca84d29d7a51ee7cddc,true,true,true,false,true
USER_f62459c55ce2d5ba88bb71158ebe94286,false,false,false,false,true
USER_4c8bb2dab7dc1d9d399fdda0a3a7b7a88,true,true,true,true,false
USER_0caa9ada2aa9968ed8cc2bacdcf3da8cd,false,true,true,true,false
USER_ed5be98cccccb99f1bcaed8888826cca9,false,true,true,false,false
USER_1a7d8b2a26cd7c9c7d96b8abe8adcbdbd,false,true,true,false,true
USER_a9b9ccadba6dccd4ab9199db29c2a80b7,false,true,false,true,true
USER_babd2dad9d99d9d9ac481db378bddccb4,false,false,false,false,false
USER_fa61dbdc4c2ebcbf9dc1b22ab9bb7cb1d,false,true,true,true,true
